scene_title,topic_title,word,meaning,part_of_speech,phonetic_us,phonetic_uk,difficulty,description,examples_json,sort_order
"校园·图书馆借书",借书,library card,借书证,noun,/ˈlaɪbreri kɑːrd/,/ˈlaɪbreri kɑːd/,L1,学生证通常就是借书证。办 card 需要带学生证。,"[{""en"":""I need a library card to borrow books."",""zh"":""我需要借书证才能借书。""}]",0
"校园·图书馆借书",借书,borrow,借,verb,/ˈbɑːroʊ/,/ˈbɒrəʊ/,L1,borrow a book = 借书。return = 还书。,"[{""en"":""How many books can I borrow at once?"",""zh"":""我一次能借几本书？""}]",1
"校园·图书馆借书",续借与归还,renew,续借,verb,/rɪˈnuː/,/rɪˈnjuː/,L1,续借已借的书。可以在网上或到柜台办理。,"[{""en"":""Can I renew this book online?"",""zh"":""我能在网上续借这本书吗？""}]",0
"校园·图书馆借书",续借与归还,overdue,逾期的,adj,/ˌoʊvərˈduː/,/ˌəʊvəˈdjuː/,L1,超过还书日期的。overdue book / overdue fine。,"[{""en"":""This book is overdue. You need to pay a fine."",""zh"":""这本书逾期了，需要交罚款。""}]",1
"校园·图书馆借书",续借与归还,due date,到期日,noun,/duː deɪt/,/djuː deɪt/,L1,还书截止日期。due = 到期的。,"[{""en"":""The due date is March 15th."",""zh"":""到期日是3月15日。""}]",2
"校园·图书馆借书",查找资料,catalogue,目录,noun,/ˈkætəlɔːɡ/,/ˈkætəlɒɡ/,L2,图书馆目录系统。网上或电脑查询。,"[{""en"":""You can search the library catalogue online."",""zh"":""你可以在网上查图书馆目录。""}]",0
"校园·图书馆借书",查找资料,reference book,参考书,noun,/ˈrefərəns bʊk/,/ˈrefərəns bʊk/,L2,只能在馆内阅读不能外借的书。,"[{""en"":""Reference books cannot be taken out of the library."",""zh"":""参考书不能带出图书馆。""}]",1
"校园·社团活动",咨询社团信息,club,社团,noun,/klʌb/,/klʌb/,L1,学生社团。join a club = 加入社团。,"[{""en"":""How many clubs are there on campus?"",""zh"":""校园里有多少个社团？""}]",0
"校园·社团活动",咨询社团信息,activity,活动,noun,/ækˈtɪvəti/,/ækˈtɪvəti/,L1,社团活动。extracurricular activity = 课外活动。,"[{""en"":""What kind of activities does your club have?"",""zh"":""你们社团有什么活动？""}]",1
"校园·社团活动",报名加入,registration form,报名表,noun,/ˌredʒɪˈstreɪʃən fɔːrm/,/ˌredʒɪˈstreɪʃən fɔːm/,L1,加入社团需要填写的表格。,"[{""en"":""Please fill out this registration form."",""zh""::请填写这张报名表。""}]",0
"校园·社团活动",参加社团活动,membership,会员资格,noun,/ˈmembərʃɪp/,/ˈmembəʃɪp/,L2,会员身份。membership fee = 会费。,"[{""en"":""Is there a membership fee to join the club?"",""zh"":""加入社团需要会费吗？""}]",0
"校园·食堂就餐",点餐,meal card,餐卡,noun,/miːl kɑːrd/,/miːl kɑːd/,L1,校园餐卡。充值后刷卡用餐。,"[{""en"":""You can pay with your meal card."",""zh"":""你可以用餐卡支付。""}]",0
"校园·食堂就餐",点餐,cafeteria,食堂,noun,/ˌkæfəˈtɪriə/,/ˌkæfəˈtɪəriə/,L1,大学食堂/自助餐厅。和美式校园生活紧密相关。,"[{""en"":""The cafeteria has a good selection of food."",""zh"":""食堂有很多菜品选择。""}]",1
"校园·食堂就餐",询问菜品,special,特供/noun,/ˈspeʃəl/,/ˈspeʃəl/,L1,今日特供/特色菜。today's special = 今日特供。,"[{""en"":""What's today's special at the cafeteria?"",""zh"":""食堂今日特供是什么？""}]",0
"旅行·机场入境",checked baggage,托运行李,noun,/tʃekt ˈbæɡɪdʒ/,/tʃekt ˈbæɡɪdʒ/,L2,,"[{""en"":""Your checked baggage is 23 kilograms."",""zh"":""你的托运行李是23公斤。""}]",16
"旅行·机场入境",security check,安检,noun,/sɪˈkjʊrəti tʃek/,/sɪˈkjʊərəti tʃek/,L1,,"[{""en"":""Please go through the security check."",""zh"":""请通过安检。""}]",17
"旅行·机场入境",immigration officer,入境官员,noun,/ˌɪmɪˈɡreɪʃən ˈɔːfɪsər/,/ˌɪmɪˈɡreɪʃən ˈɒfɪsə/,L2,,"[{""en"":""The immigration officer asked me a few questions."",""zh"":""入境官员问了我几个问题。""}]",18
"旅行·机场入境",duration of stay,停留时间,noun,/dʊˈreɪʃən əv steɪ/,/djʊˈreɪʃən əv steɪ/,L2,,"[{""en"":""What's your duration of stay in the UK?"",""zh"":""你在英国停留多久？""}]",19
"旅行·机场入境",return ticket,回程机票,noun,/rɪˈtɜːrn ˈtɪkɪt/,/rɪˈtɜːn ˈtɪkɪt/,L1,,"[{""en"":""Do you have a return ticket?"",""zh"":""你有回程机票吗？""}]",20
"旅行·机场入境",entry permit,入境许可,noun,/ˈentri pərˈmɪt/,/ˈentri ˈpɜːmɪt/,L2,,"[{""en"":""You need an entry permit to enter the country."",""zh"":""你需要入境许可才能入境。""}]",21
"旅行·机场入境",travel document,旅行证件,noun,/ˈtrævəl ˈdɑːkjumənt/,/ˈtrævəl ˈdɒkjʊmənt/,L2,,"[{""en"":""Make sure your travel documents are valid."",""zh"":""确保你的旅行证件有效。""}]",22
"旅行·机场入境",landing card,入境卡,noun,/ˈlændɪŋ kɑːrd/,/ˈlændɪŋ kɑːd/,L2,,"[{""en"":""Fill in your landing card before arrival."",""zh"":""到达前填好入境卡。""}]",23
"旅行·机场入境",suitcase,行李箱,noun,/ˈsuːtkeɪs/,/ˈsuːtkeɪs/,L1,,"[{""en"":""My suitcase was damaged during the flight."",""zh"":""我的行李箱在飞行中损坏了。""}]",24
"旅行·机场入境",lost and found,失物招领,noun,/lɔːst ænd faʊnd/,/lɒst ænd faʊnd/,L2,,"[{""en"":""Check at the lost and found for your bag."",""zh"":""去失物招领处找找你的包。""}]",25
"留学·认识室友",introduce,介绍,verb,/ˌɪntrəˈduːs/,/ˌɪntrəˈdjuːs/,L1,,"[{""en"":""Let me introduce myself."",""zh"":""让我自我介绍一下。""}]",0
"留学·认识室友",hometown,家乡,noun,/ˈhoʊmtaʊn/,/ˈhəʊmtaʊn/,L1,,"[{""en"":""My hometown is Shanghai."",""zh"":""我的家乡是上海。""}]",1
"留学·认识室友",major,专业,noun,/ˈmeɪdʒər/,/ˈmeɪdʒə/,L1,,"[{""en"":""What's your major?"",""zh"":""你学什么专业？""}]",2
"留学·认识室友",get used to,适应,phrase,/ɡet juːzd tuː/,/ɡet juːzd tuː/,L2,,"[{""en"":""I'm still getting used to the weather here."",""zh"":""我还在适应这里的天气。""}]",3
"留学·认识室友",hang out,出去玩,phrase,/hæŋ aʊt/,/hæŋ aʊt/,L1,,"[{""en"":""Do you want to hang out this weekend?"",""zh"":""这周末想一起出去玩吗？""}]",4
"留学·认识室友",schedule,日程,noun,/ˈskedʒuːl/,/ˈʃedjuːl/,L1,,"[{""en"":""My class schedule is quite busy on Mondays."",""zh"":""我周一的上课安排很满。""}]",5
"留学·认识室友",semester,学期,noun,/sɪˈmestər/,/sɪˈmestə/,L1,,"[{""en"":""This semester I'm taking four courses."",""zh"":""这学期我选了四门课。""}]",6
"留学·认识室友",campus,校园,noun,/ˈkæmpəs/,/ˈkæmpəs/,L1,,"[{""en"":""The campus is beautiful in autumn."",""zh"":""秋天的校园很美。""}]",7
"留学·认识室友",roommate,室友,noun,/ˈruːmmeɪt/,/ˈruːmmeɪt/,L1,,"[{""en"":""My roommate is from South Korea."",""zh"":""我的室友来自韩国。""}]",8
"留学·认识室友",originally from,来自,phrase,/əˈrɪdʒənəli frəm/,/əˈrɪdʒənəli frəm/,L1,,"[{""en"":""I'm originally from China."",""zh"":""我来自中国。""}]",9
"留学·认识室友",spoken language,口语,noun,/ˈspoʊkən ˈlæŋɡwɪdʒ/,/ˈspəʊkən ˈlæŋɡwɪdʒ/,L2,,"[{""en"":""What spoken language do you use at home?"",""zh"":""你在家里说什么语言？""}]",10
"留学·认识室友",culture shock,文化冲击,noun,/ˈkʌltʃər ʃɑːk/,/ˈkʌltʃə ʃɒk/,L2,,"[{""en"":""I experienced some culture shock at first."",""zh"":""一开始我经历了一些文化冲击。""}]",11
"留学·认识室友",adapt,适应,verb,/əˈdæpt/,/əˈdæpt/,L2,,"[{""en"":""It took me a few weeks to adapt."",""zh"":""我花了几个星期才适应。""}]",12
"留学·认识室友",personality,性格,noun,/ˌpɜːrsəˈnæləti/,/ˌpɜːsəˈnæləti/,L2,,"[{""en"":""We have similar personalities."",""zh"":""我们性格很相似。""}]",13
"留学·认识室友",hobby,爱好,noun,/ˈhɑːbi/,/ˈhɒbi/,L1,,"[{""en"":""My hobbies include reading and hiking."",""zh"":""我的爱好包括阅读和徒步。""}]",14
"留学·认识室友",freshman,大一新生,noun,/ˈfreʃmən/,/ˈfreʃmən/,L1,,"[{""en"":""I'm a freshman at the university."",""zh"":""我是大学一年级新生。""}]",15
"留学·认识室友",common interest,共同兴趣,noun,/ˈkɑːmən ˈɪntrəst/,/ˈkɒmən ˈɪntrəst/,L2,,"[{""en"":""We have a lot of common interests."",""zh"":""我们有很多共同兴趣。""}]",16
"留学·认识室友",share,分享,verb,/ʃer/,/ʃeə/,L1,,"[{""en"":""We share the kitchen and bathroom."",""zh"":""我们共用厨房和卫生间。""}]",17
"留学·认识室友",privacy,隐私,noun,/ˈpraɪvəsi/,/ˈprɪvəsi/,L2,,"[{""en"":""I need some privacy sometimes."",""zh"":""我有时候需要一些隐私。""}]",18
"留学·认识室友",polite,礼貌的,adj,/pəˈlaɪt/,/pəˈlaɪt/,L1,,"[{""en"":""It's important to be polite to your roommate."",""zh"":""对室友礼貌很重要。""}]",19
"留学·认识室友",conversation,对话,noun,/ˌkɑːnvərˈseɪʃən/,/ˌkɒnvəˈseɪʃən/,L1,,"[{""en"":""We had a nice conversation about our cultures."",""zh"":""我们聊了各自的文化，聊得很开心。""}]",20
