id,en,zh,topic,difficulty
39,"Knock it off.","别闹了","请求、指令与许可",L1
40,"Anything else?","还有什么","疑问、澄清与确认",L1
41,"That's disgusting.","这太恶心了","观点、同意与评价",L1
42,"Out of my way.","给我让开","请求、指令与许可",L2
43,"Who cares.","谁在乎呢","观点、同意与评价",L1
44,"It doesn't make sense.","这没道理呀","观点、同意与评价",L2
45,"That's weird.","太奇怪了","观点、同意与评价",L1
46,"That's ridiculous.","这太荒唐了","观点、同意与评价",L1
47,"No wonder.","难怪","观点、同意与评价",L1
48,"How dare you.","你敢","观点、同意与评价",L1
49,"Take your time.","别着急","情绪与安慰",L1
50,"Way to go.","做得好","感谢、道歉与祝福",L1
51,"Me neither.","我也不会/我也没","观点、同意与评价",L1
52,"Mark my words.","记住我说的","惯用语与俚语",L3
53,"That would be great.","那太好了","观点、同意与评价",L2
54,"Full of shit.","胡说八道","惯用语与俚语",L3
55,"That depends.","那得看情况","观点、同意与评价",L1
56,"I'm impressed.","我很佩服","感谢、道歉与祝福",L1
57,"Shame on you.","真不要脸","观点、同意与评价",L1
58,"Be my guest.","请自便","请求、指令与许可",L1
59,"Get out of here.","快离开这里","请求、指令与许可",L2
60,"That's true.","那是真的","观点、同意与评价",L1
61,"You're fired.","你被炒了","日常陈述与事务",L1
62,"Speaking of which.","话说到这","问候与寒暄",L1
63,"Settle down","安静","请求、指令与许可",L1
64,"No need","不用","观点、同意与评价",L1
65,"Bite me.","不用你管（你咬我啊）","惯用语与俚语",L3
66,"I'll be right back.","我马上回来","问候与寒暄",L2
67,"As always.","一如既往","日常陈述与事务",L1
68,"Where were we?","我们说到哪了","疑问、澄清与确认",L1
69,"Not again.","又来了","情绪与安慰",L1
70,"Give me a break.","饶了我吧","惯用语与俚语",L3
71,"What's the point?","有什么意义","疑问、澄清与确认",L1
72,"Went well.","进展顺利","日常陈述与事务",L1
73,"Don't panic.","别慌","情绪与安慰",L1
74,"Sit tight.","坐着别动","请求、指令与许可",L1
75,"Gotcha.","明白了","观点、同意与评价",L1
76,"What are you waiting for?","你在等什么呢？","疑问、澄清与确认",L2
77,"Who told you?","谁告诉你的","疑问、澄清与确认",L1
78,"That's so sweet","太贴心了","感谢、道歉与祝福",L1
79,"Whatever you say.","随便你怎么说","观点、同意与评价",L1
80,"Don't get me wrong.","别误会我","观点、同意与评价",L2
81,"You bet.","当然、一定","观点、同意与评价",L1
82,"That's the spirit.","这样才对嘛","情绪与安慰",L1
83,"I beg your pardon.","你能再说一遍吗","疑问、澄清与确认",L2
84,"I hate you.","我讨厌你","情绪与安慰",L1
85,"Just say it.","有话直说","请求、指令与许可",L1
86,"It doesn't matter.","没关系","观点、同意与评价",L1
87,"All that matters.","最重要的是","观点、同意与评价",L1
88,"Not even close.","差远了","观点、同意与评价",L1
89,"What am I supposed to do?","我该怎么办？","疑问、澄清与确认",L2
90,"To be honest.","老实说","观点、同意与评价",L1
91,"What can I say?","我还能说什么","疑问、澄清与确认",L2
92,"Hear me out.","听我说完","请求、指令与许可",L1
93,"Outstanding.","好极了","情绪与安慰",L1
94,"We're even.","咱们打平","日常陈述与事务",L1
95,"Will do.","没问题","日常陈述与事务",L1
96,"Don't give up","别放弃","情绪与安慰",L1
97,"Bring it on.","放马过来","惯用语与俚语",L3
98,"Hard to say.","很难说","观点、同意与评价",L1
99,"Just in time.","时间刚刚好","日常陈述与事务",L1
100,"Here's the deal.","这样吧","问候与寒暄",L1
101,"My apologies.","我向你道歉","感谢、道歉与祝福",L1
102,"Mayday.","求救","惯用语与俚语",L3
103,"I'm begging you.","我求你了","请求、指令与许可",L1
104,"Allow me.","让我来","请求、指令与许可",L1
105,"That's for sure.","那是肯定的","观点、同意与评价",L1
106,"I wish I could.","我希望我能","情绪与安慰",L2
107,"Don't leave me.","别离开我","情绪与安慰",L1
108,"You suck.","你太烂了","惯用语与俚语",L3
109,"In that case.","这样的话","问候与寒暄",L1
110,"From now on.","从现在开始","日常陈述与事务",L1
111,"Go to hell.","见鬼去吧","惯用语与俚语",L3
112,"You look great.","你看起来棒极了","感谢、道歉与祝福",L1
113,"Go for it.","去试试","情绪与安慰",L1
114,"Not like that.","不是那样的","观点、同意与评价",L1
115,"Don't cry.","别哭","情绪与安慰",L1
116,"No hard feelings.","别往心里去","惯用语与俚语",L3
117,"Start over.","重新开始","请求、指令与许可",L1
118,"Give me a hand.","帮个忙","请求、指令与许可",L2
119,"Cut it out.","别闹了","请求、指令与许可",L1
120,"There there.","好啦","情绪与安慰",L1
121,"Sleep tight.","睡个好觉","感谢、道歉与祝福",L1
122,"As you wish.","如你所愿","观点、同意与评价",L1
123,"Something's up.","有情况/出事了","日常陈述与事务",L1
124,"Poor thing.","真可怜","情绪与安慰",L1
125,"Set me up.","陷害我","惯用语与俚语",L3
126,"Why are you doing this?","你为什么要这样做？","疑问、澄清与确认",L2
127,"What a coincidence.","真巧啊","观点、同意与评价",L1
128,"At this point.","在这一点上","日常陈述与事务",L1
129,"In the meantime.","接下来","日常陈述与事务",L1
130,"Do as I say.","照我说的做","请求、指令与许可",L2
131,"How should I know.","我哪知道","疑问、澄清与确认",L2
132,"I've had it.","我受够了","情绪与安慰",L1
133,"That's more like it.","这才像话","观点、同意与评价",L2
134,"I doubt it.","我深表怀疑","观点、同意与评价",L1
135,"Is that clear?","明白了吗？","疑问、澄清与确认",L1
136,"Check it out.","快看、快瞧瞧","请求、指令与许可",L1
137,"Don't be silly.","别傻了","观点、同意与评价",L1
138,"Stay where you are.","待在那里别动","请求、指令与许可",L2
139,"I can tell.","我看得出来","观点、同意与评价",L1
140,"For your own good.","为了你好","日常陈述与事务",L2
141,"We had a deal.","我们说好了的","日常陈述与事务",L2
142,"The other way around.","正好相反","惯用语与俚语",L3
143,"Be patient.","耐心点","请求、指令与许可",L1
144,"Cheer up.","开心点","情绪与安慰",L1
145,"I have no choice.","我没得选","日常陈述与事务",L2
146,"We'll see about that.","走着瞧吧","惯用语与俚语",L3
147,"Not a chance.","想都别想","观点、同意与评价",L1
148,"Calm down.","冷静","请求、指令与许可",L1
149,"Keep in touch.","保持联系","问候与寒暄",L1
150,"Just do it.","尽管去做","请求、指令与许可",L1
151,"So do I.","我也是","观点、同意与评价",L1
152,"Long story.","说来话长","问候与寒暄",L1
153,"Drop your weapon.","放下武器","请求、指令与许可",L1
154,"Something's wrong.","有点不对劲","日常陈述与事务",L1
155,"Hilarious.","真搞笑","情绪与安慰",L1
156,"No offense.","无意冒犯","惯用语与俚语",L3
157,"That's impossible.","这不可能","观点、同意与评价",L1
158,"Hang in there.","坚持住","情绪与安慰",L1
159,"Good luck.","祝你好运","感谢、道歉与祝福",L1
160,"I knew it.","我就知道","观点、同意与评价",L1
161,"Have fun.","开心点","感谢、道歉与祝福",L1
162,"This is incredible.","这太不可思议了","情绪与安慰",L1
163,"I think so.","我想是的","观点、同意与评价",L1
164,"Forgive me.","原谅我","感谢、道歉与祝福",L1
165,"This is insane.","这太疯狂了","情绪与安慰",L1
166,"I'll be right there.","我马上来","日常陈述与事务",L2
167,"I mean it.","我说真的","日常陈述与事务",L1
168,"Not really.","不是的","观点、同意与评价",L1
169,"Sure thing.","没问题","观点、同意与评价",L1
170,"What do you mean?","你什么意思?","疑问、澄清与确认",L2
171,"Don't touch me.","别碰我","请求、指令与许可",L1
172,"We got a problem.","我们有麻烦了","日常陈述与事务",L2
173,"Have a nice day.","祝你愉快","感谢、道歉与祝福",L2
174,"You have my word.","我保证","日常陈述与事务",L2
175,"It's complicated.","这很复杂","观点、同意与评价",L1
176,"happy birthday.","生日快乐","感谢、道歉与祝福",L1
177,"With all due respect.","恕我直言","惯用语与俚语",L3
178,"One more thing.","还有一件事","问候与寒暄",L1
179,"Well done.","很好、干得好","感谢、道歉与祝福",L1
180,"Take a break.","休息一下","请求、指令与许可",L1
181,"I'm home.","我回来了","日常陈述与事务",L1
182,"All of a sudden.","突然之间","日常陈述与事务",L2
183,"Who else.","还有谁","疑问、澄清与确认",L1
184,"It's amazing.","不可思议","情绪与安慰",L1
185,"On my own.","我自己一个人","日常陈述与事务",L1
186,"I'm tired.","我累了","情绪与安慰",L1
187,"I'm exhausted.","我累坏了","情绪与安慰",L1
188,"Time's up.","时间到了","日常陈述与事务",L1
189,"Bless you.","保佑你","感谢、道歉与祝福",L1
190,"That was close.","好险啊","情绪与安慰",L1
191,"Is that so?","是这样吗？","疑问、澄清与确认",L1
192,"Tired of.","受够了","情绪与安慰",L1
193,"Nonsense.","瞎说","观点、同意与评价",L1
194,"I can explain.","我可以解释","日常陈述与事务",L1
195,"We got company.","有人来了","日常陈述与事务",L1
196,"Bingo","搞定、答对","惯用语与俚语",L3
197,"How do I look?","我看起来怎么样?","疑问、澄清与确认",L2
198,"Doesn't say.","没说/没提到","日常陈述与事务",L1
199,"I would guess that.","我猜是这样","观点、同意与评价",L2
200,"Here we are.","我们到了","日常陈述与事务",L1
201,"I got it.","我去处理","观点、同意与评价",L1
202,"Home sweet home.","到家了","惯用语与俚语",L3
203,"show it to me.","给我看看","请求、指令与许可",L2
204,"Come on sit.","过来坐","请求、指令与许可",L1
205,"That should do nicely.","这样就很好了","观点、同意与评价",L2
206,"Get dressed now.","现在就穿衣服","请求、指令与许可",L1
207,"If I were you.","我要是你","惯用语与俚语",L3
208,"Close your eyes.","闭上眼睛","请求、指令与许可",L1
209,"I don't remember.","我忘了","日常陈述与事务",L1
210,"I'm not sure yet.","我还不确定","观点、同意与评价",L2
211,"I thought I told you.","我好像跟你说过","日常陈述与事务",L2
212,"Good reason.","理由不错","观点、同意与评价",L1
213,"What I understand.","据我所知","观点、同意与评价",L1
214,"Finished already?","已经完成了吗？","疑问、澄清与确认",L1
215,"You were right.","你说得对","观点、同意与评价",L1
216,"I bet you do.","我想也是","观点、同意与评价",L2
217,"Now or never.","不然以后就没机会了","惯用语与俚语",L3
218,"Not today.","今天不行","观点、同意与评价",L1
219,"You resign now.","你认输吧","请求、指令与许可",L1
220,"You're gloating.","你很得意嘛","观点、同意与评价",L1
221,"I'm not.","才没有呢","观点、同意与评价",L1
222,"It was close.","差一点点","观点、同意与评价",L1
223,"Then what?","然后呢","疑问、澄清与确认",L1
224,"show me.","教我","请求、指令与许可",L1
225,"Not now.","现在不行","观点、同意与评价",L1
226,"You're mad.","你生气了","情绪与安慰",L1
227,"I am not mad.","我没有生气","情绪与安慰",L2
228,"And don't tell.","别告诉别人","请求、指令与许可",L1
229,"I won't.","我不会","观点、同意与评价",L1
230,"You're amazing.","你很出色","感谢、道歉与祝福",L1
231,"Before I forget.","趁我还记得","问候与寒暄",L1
232,"Closer.","靠近点","请求、指令与许可",L1
233,"In a what?","什么？","疑问、澄清与确认",L1
234,"I would chaperone.","我会陪同","日常陈述与事务",L1
235,"I'd pick her up.","我会来接她","日常陈述与事务",L2
236,"As my guest.","以我客人的身份","惯用语与俚语",L3
237,"She comes along?","她也一起来吗？","疑问、澄清与确认",L1
238,"Yes,I'd like to.","好，我也想去","观点、同意与评价",L1
239,"It's settled, then.","那就这么定了","日常陈述与事务",L1
240,"I'll see you then.","到时候见","问候与寒暄",L2
241,"That'll be all.","就这样吧","问候与寒暄",L1
242,"Beat it.","滚开","惯用语与俚语",L3
243,"Do I start now?","我可以开始了吗？","疑问、澄清与确认",L2
244,"It felt good.","感觉真爽","观点、同意与评价",L1
245,"You should get back.","你该回去了","请求、指令与许可",L2
246,"Don't be rude.","注意礼貌","请求、指令与许可",L1
247,"Pull over.","靠边停车","请求、指令与许可",L1
248,"You deserve it.","你应得的","观点、同意与评价",L1
249,"I quit.","我不干了","日常陈述与事务",L1
250,"It's not worth it.","这不值得","观点、同意与评价",L2
251,"Keep the change.","不用找钱了","日常陈述与事务",L1
252,"Don't lie to me.","不要对我说谎","请求、指令与许可",L2
253,"You do what you want.","去做你想做的","观点、同意与评价",L2
254,"By all means.","当然可以","观点、同意与评价",L1
255,"Is that what you want?","这就是你想要的吗","疑问、澄清与确认",L2
256,"Whatever it takes.","不惜一切代价","惯用语与俚语",L3
257,"I'm here to take you home.","我是来接你回家的","日常陈述与事务",L2
258,"Don't talk to me like that.","别这样跟我说话","请求、指令与许可",L2
259,"Now I'm lost.","我现在迷路了","日常陈述与事务",L1
260,"Get away from me.","离我远点","请求、指令与许可",L2
261,"You saved my life.","你救了我","感谢、道歉与祝福",L2
262,"Suit yourself.","随你便","惯用语与俚语",L3
263,"What's so funny.","有什么好笑的","疑问、澄清与确认",L1
264,"Give it a try.","试试吧","请求、指令与许可",L2
265,"Don't even think about it.","想都别想","请求、指令与许可",L2
266,"I don't give a shit.","我才不管","惯用语与俚语",L3
267,"On your knees.","跪下","请求、指令与许可",L1
268,"How have you been.","最近怎么样","问候与寒暄",L2
269,"Says who?","谁说的","疑问、澄清与确认",L1
270,"Lucky me.","我真走运","情绪与安慰",L1
271,"Don't let me down.","别让我失望","请求、指令与许可",L2
272,"I can't sleep.","我睡不着","日常陈述与事务",L1
273,"I don't blame you.","我不怪你","观点、同意与评价",L2
274,"I don't want to hear it.","我不想听","观点、同意与评价",L2
275,"Fear not.","别害怕","情绪与安慰",L1
276,"Sorry to interrupt.","抱歉打扰了","感谢、道歉与祝福",L1
277,"Why didn't you tell me?","你为什么不告诉我","疑问、澄清与确认",L2
278,"And you know nothing.","而你什么都不知道","观点、同意与评价",L2
279,"Welcome aboard.","欢迎加入","问候与寒暄",L1
280,"I'm nothing really.","我真的什么也不是","情绪与安慰",L1
281,"Afraid so.","恐怕是的","观点、同意与评价",L1
282,"I want you to stay.","我要你留下来","情绪与安慰",L2
283,"Maybe next time.","也许下次吧","观点、同意与评价",L1
284,"Nice try.","想得美","观点、同意与评价",L1
285,"I'm bored.","我很无聊","情绪与安慰",L1
286,"Rough day?","今天不顺利吗？","疑问、澄清与确认",L1
287,"I'm confused.","我搞不懂","情绪与安慰",L1
288,"I would do anything for you.","我愿意为你做任何事","情绪与安慰",L2
289,"Is there anything I can do?","有什么我可以帮忙的吗？","疑问、澄清与确认",L2
290,"I'm not leaving you.","我不会离开你的","情绪与安慰",L2
291,"Tell me what to do.","告诉我该怎么做","请求、指令与许可",L2
292,"How is that possible?","怎么可能呢？","疑问、澄清与确认",L2
293,"I got your back.","我支持你","情绪与安慰",L2
294,"You promised me.","你答应过我的","日常陈述与事务",L1
295,"That's easy for you to say.","你说的倒是容易","观点、同意与评价",L2
296,"No can do.","不行","惯用语与俚语",L3
297,"You should have seen yourself.","你应该亲眼看看才对","观点、同意与评价",L2
298,"It felt funny.","感觉挺好笑的","观点、同意与评价",L1
299,"I bet it felt good.","应该感觉很爽吧","观点、同意与评价",L2
300,"What are you gonna do at night?","你晚上有什么打算？","疑问、澄清与确认",L3
301,"I'm gonna memorize them.","我要把它们记下来","日常陈述与事务",L2
302,"In my mind.","在我的脑子里","日常陈述与事务",L1
303,"Don't run.","别跑","请求、指令与许可",L1
304,"No shoving!","别推来推去","请求、指令与许可",L1
305,"I'm being punished.","我被处罚了","日常陈述与事务",L1
306,"For crying out loud!","我的天啊","惯用语与俚语",L3
307,"What are you still doing in bed?","你怎么还不起床？","疑问、澄清与确认",L3
308,"You're gonna miss breakfast.","你要错过早餐时间了","日常陈述与事务",L2
309,"Been dreaming about it.","做梦都想","情绪与安慰",L2
310,"Are you trying to piss her off?","你想惹恼她是吗？","疑问、澄清与确认",L3
311,"I had to take a shower.","我洗了个澡","日常陈述与事务",L2
312,"Go on in.","赶紧进去吧","请求、指令与许可",L1
313,"Hold up.","等一下","请求、指令与许可",L1
314,"They seem like nice people.","他们看起来像好人","观点、同意与评价",L2
315,"Such a wonderful age.","如此美好的年纪","感谢、道歉与祝福",L2
316,"That's very impressive.","真厉害","感谢、道歉与祝福",L1
317,"I can see that.","看得出来","观点、同意与评价",L2
318,"You should go pack.","你该去打包行李了","请求、指令与许可",L2
319,"I can't find my book.","我找不到我的书","日常陈述与事务",L2
320,"Which book we talking about?","哪一本书？","疑问、澄清与确认",L2
321,"Beats the shit out of me.","我完全不知道","惯用语与俚语",L3
322,"I left it right here.","我明明放在这里的","日常陈述与事务",L2
323,"You didn't see it, did you?","你没看到，对吗？","疑问、澄清与确认",L2
324,"Watch who you go accusing.","别诬赖我","请求、指令与许可",L2
325,"I got no use.","我用不上","日常陈述与事务",L2
326,"Be a good girl.","做个乖女孩","请求、指令与许可",L2
327,"Off we go.","我们出发","问候与寒暄",L1
328,"Shall we?","要不要一起？","疑问、澄清与确认",L1
329,"Do you like animals?","你喜欢小动物吗？","疑问、澄清与确认",L2
330,"I do, I love them.","我很喜欢它们","观点、同意与评价",L2
331,"Over here is the bathroom.","这边是浴室","日常陈述与事务",L2
332,"And this is yours.","这是你的","日常陈述与事务",L2
333,"This is all mine?","这些都是我的？","疑问、澄清与确认",L2
334,"Of course, it's all yours.","当然都是你的","观点、同意与评价",L2
335,"Take your time to unpack.","慢慢来收拾行李","请求、指令与许可",L2
336,"And get settled in.","安顿下来","请求、指令与许可",L2
337,"It's only for 2 weeks.","只不过两个星期","日常陈述与事务",L2
338,"Do you have to take the car?","非要把车开走吗？","疑问、澄清与确认",L3
339,"It's not that far into town.","这离城市也不远","日常陈述与事务",L2
340,"Remember what the doctor said.","记得医生的叮嘱","请求、指令与许可",L2
341,"Some exercise will do you good.","做点运动对你有益","请求、指令与许可",L2
342,"Business trip.","出差","日常陈述与事务",L1
343,"As he likes to remind me.","他也经常提醒我说","日常陈述与事务",L2
344,"Please stop staring, dear.","亲爱的别盯着我看了","请求、指令与许可",L2
345,"You're making me nervous.","你会让我紧张的","情绪与安慰",L2
346,"No biggie.","不要紧","惯用语与俚语",L3
347,"You wish.","想得美","惯用语与俚语",L3
348,"Don't push me.","别逼我","请求、指令与许可",L1
349,"I'm not in the mood.","我心情不好","情绪与安慰",L2
350,"It doesn't work.","没有用","日常陈述与事务",L1
351,"Why bother?","何必呢","疑问、澄清与确认",L1
352,"Zip it.","闭嘴","请求、指令与许可",L1
353,"It's urgent.","有急事","日常陈述与事务",L1
354,"hold on, let me think.","等等，让我想一下","请求、指令与许可",L2
355,"What's the word for it?","那个字怎么说来着","疑问、澄清与确认",L2
356,"It's on the tip of my tongue.","话就在嘴边，就是想不起来","惯用语与俚语",L3
357,"I'll let you know when I recall.","等我想起来再跟你说","日常陈述与事务",L3
358,"I don't know for sure.","我不是很确定","观点、同意与评价",L2
359,"Cut the crap.","废话少说","请求、指令与许可",L1
360,"You're breaking up.","你的信号不好","日常陈述与事务",L1
361,"Not in my book.","我不喜欢此事","惯用语与俚语",L3
362,"I'm an open book.","我没有什么秘密","惯用语与俚语",L3
363,"Now you're talking","这才像话嘛","惯用语与俚语",L3
364,"You don't say.","这还要你说嘛","惯用语与俚语",L3
365,"Pardon my French.","原谅我说脏话","惯用语与俚语",L3
366,"Better late than never","晚到总比不到好","惯用语与俚语",L3
367,"A penny for your thoughts?","你在想什么？","惯用语与俚语",L3
368,"The ball is in your court.","该你采取行动了","惯用语与俚语",L3
369,"He's still sitting on the fence.","他还没做出决定","惯用语与俚语",L3
370,"mark my words.","我跟你保证","惯用语与俚语",L3
371,"It's a win-win situation.","这是个双赢的局面","惯用语与俚语",L3
372,"I have a lot on my plate.","我很忙、事情很多","惯用语与俚语",L3
373,"She got cold feet.","她临阵退缩了","惯用语与俚语",L3
374,"He was caught red-handed.","他被逮个正着","惯用语与俚语",L3
375,"It's not rocket science.","这没有很难吧","惯用语与俚语",L3
376,"Let's play it by ear.","我们随情况决定吧","惯用语与俚语",L3
377,"Just a heads-up.","我去处理","惯用语与俚语",L3
378,"It's a blessing in disguise.","因祸得福","惯用语与俚语",L3
379,"Break a leg.","祝你好运","惯用语与俚语",L3
380,"You've dodged a bullet.","你成功逃过一劫","惯用语与俚语",L3
381,"You're off the hook.","没你的事情了","惯用语与俚语",L3
382,"Stop beating around the bush.","别拐弯抹角了","惯用语与俚语",L3
383,"Don't bite off more than you can chew.","量力而行","惯用语与俚语",L3
384,"Don't shoot yourself in the foot.","别搬石头砸自己的脚","惯用语与俚语",L3
385,"Hang in there.","坚持下去","情绪与安慰",L1
386,"Get yourself together.","振作点","情绪与安慰",L1
387,"Let's bury the hatchet.","我们握手言和吧","惯用语与俚语",L3
388,"You have to bite the bullet.","你得硬着头皮去做","惯用语与俚语",L3
389,"It's for the best.","或许是件好事","观点、同意与评价",L2
390,"It's the best of both worlds.","真是两全其美的好办法","惯用语与俚语",L3
391,"give him the benefit of the doubt.","姑且相信他吧","惯用语与俚语",L3
392,"Get a life.","做点有意义的事吧","惯用语与俚语",L3
393,"Get over yourself.","别自以为是了","惯用语与俚语",L3
394,"Don't get me started.","说到这个我就气","惯用语与俚语",L3
395,"No shit.","废话","惯用语与俚语",L3
396,"For god's sake.","有没有搞错","惯用语与俚语",L3
397,"What kind of a person does that.","怎么会有这样的人","疑问、澄清与确认",L3
398,"Do you have any idea how tired I am?","你知不知道我有多累？","疑问、澄清与确认",L3
399,"Do you have a reservation?","您预订了吗？","疑问、澄清与确认",L2
400,"Where can I buy a ticket?","在哪里能买到票？","疑问、澄清与确认",L2
401,"When is the next train?","下趟火车什么时候到？","疑问、澄清与确认",L2
402,"Thank you so much for helping me move yesterday.","非常感谢你昨天帮我搬家","感谢、道歉与祝福",L3
403,"I'm feeling a little under the weather today.","我今天感觉有点不舒服。","情绪与安慰",L3
404,"Could I have a moment of your time?","我能占用你一点时间吗？","请求、指令与许可",L3
405,"Make yourself at home.","请不要拘礼/当自己家一样。","问候与寒暄",L2
406,"My car needs washing.","我的车需要洗一洗。","日常陈述与事务",L2
407,"None of your business!","与你无关!","观点、同意与评价",L2
408,"Not a sound was heard","一点声音也没有。","日常陈述与事务",L2
409,"That's always the case.","习以为常了。","惯用语与俚语",L3
410,"The road divides here","这条路在这里分岔。","日常陈述与事务",L2
411,"Those are watermelons.","那些是西瓜。","日常陈述与事务",L1
412,"What a nice day it is!","今天天气真好!","情绪与安慰",L2
413,"What's wrong with you?","你哪里不对劲?","疑问、澄清与确认",L2
414,"You are a chicken.","你是个胆小鬼。","惯用语与俚语",L3
415,"A lovely day, isn't it?","好天气，是吗?","问候与寒暄",L2
416,"He is collecting money.","他在筹集资金。","日常陈述与事务",L2
417,"He was born in New York.","他出生在纽约。","日常陈述与事务",L2
418,"He was not a bit tired.","他一点也不累。","日常陈述与事务",L2
419,"I will be more careful.","我会小心一些的，","日常陈述与事务",L2
420,"I will never forget it.","我会记着的。","日常陈述与事务",L2
421,"It is just what I need.","这正是我所需要的。","日常陈述与事务",L2
422,"It rather surprised me.","那事使我颇感惊讶。","情绪与安慰",L2
423,"Just around the comer.","就在附近。","惯用语与俚语",L3
424,"Just for entertainment.","只是为了消遣一下。","日常陈述与事务",L1
425,"Let bygones be bygones.","过去的，就让它过去吧。","惯用语与俚语",L3
426,"Mother doesn't make up.","妈妈不化妆。","日常陈述与事务",L2
427,"Oh,you are kidding me.","哦，你别拿我开玩笑了。","观点、同意与评价",L2
428,"She has been to school","她上学去了。","日常陈述与事务",L2
429,"Skating is interesting.","滑冰很有趣。","观点、同意与评价",L1
430,"Supper is ready at six.","晚餐六点钟就好了。","日常陈述与事务",L2
431,"That's a terrific idea!","真是好主意!","观点、同意与评价",L2
432,"What horrible weather!","这鬼天气!","情绪与安慰",L1
433,"Which would you prefer?","你要选哪个?","疑问、澄清与确认",L2
434,"Does she like ice-cream?","她喜欢吃冰淇淋吗?","疑问、澄清与确认",L2
435,"First come first served.","先到先得。","惯用语与俚语",L3
436,"Great minds think alike.","英雄所见略同。","惯用语与俚语",L3
437,"He has a sense of humor.","他有幽默感。","日常陈述与事务",L2
438,"He is acting an old man.","他正扮演一个老人。","日常陈述与事务",L2
439,"He is looking for a job.","他正在找工作。","日常陈述与事务",L2
440,"He doesn't care about me.","他并不在乎我。","情绪与安慰",L2
441,"I develop films myself.","我自己冲洗照片。","日常陈述与事务",L2
442,"I felt no regret for it.","对这件事我不觉得后悔。","情绪与安慰",L2
443,"I get up at six o'clock.","我六点起床。","日常陈述与事务",L2
444,"I meet the boss himself.","我见到了老板本人。","日常陈述与事务",L2
445,"I owe you for my dinner","我欠你晚餐的钱。","日常陈述与事务",L2
446,"I really enjoyed myself.","我玩得很开心。","情绪与安慰",L2
447,"I'm fed up with my work!","我对工作烦死了!","情绪与安慰",L2
448,"It's no use complaining","发牢骚没什么用。","观点、同意与评价",L2
449,"She's under the weather.","她心情不好。","情绪与安慰",L2
450,"The child sobbed sadly.","小孩伤心地抽泣着。","日常陈述与事务",L2
451,"The rumor had no basis.","那谣言没有根据。","日常陈述与事务",L2
452,"They praised him highly.","他们大大地表扬了他。","日常陈述与事务",L2
453,"Winter is a cold season","冬天是一个，寒冷的季节。","日常陈述与事务",L2
454,"You can call me any time.","你可以随时打电话给我。","日常陈述与事务",L2
455,"All for one,one for all.","我为人人，人人为我。","惯用语与俚语",L3
456,"East,west,home is best.","金窝，银窝，不如自己的草窝。","惯用语与俚语",L3
457,"He grasped both my hands","他紧握住我的双手。","日常陈述与事务",L2
458,"He is physically mature.","他身体己发育成熟。","日常陈述与事务",L2
459,"I am so sorry about this","对此我非常抱歉(遗憾)。","感谢、道歉与祝福",L2
460,"I can't afford a new car.","我买不起一部新车。","日常陈述与事务",L2
461,"I do want to see him now.","我现在确实很想去见他。","情绪与安慰",L3
462,"I have the right to know","我有权知道。","日常陈述与事务",L2
463,"I heard some one laughing","我听见有人在笑。","日常陈述与事务",L2
464,"I suppose you dance much.","我想你常常跳舞吧。","观点、同意与评价",L2
465,"I walked across the park.","我穿过了公园。","日常陈述与事务",L2
466,"I'll just play it by ear.","我到时随机应变。","惯用语与俚语",L3
