scene_title,topic_title,word,sort_order
常用英语500句 · 基础篇,酒店、课程与服务预约,booking,13
常用英语500句 · 基础篇,酒店、课程与服务预约,room,14
常用英语500句 · 基础篇,酒店、课程与服务预约,course,15
常用英语500句 · 基础篇,酒店、课程与服务预约,sleep,16
常用英语500句 · 基础篇,酒店、课程与服务预约,book,17
常用英语500句 · 基础篇,说明迟到、延误和计划变化,sudden,1
常用英语500句 · 基础篇,说明迟到、延误和计划变化,delay,2
常用英语500句 · 基础篇,说明迟到、延误和计划变化,late,3
常用英语500句 · 基础篇,说明迟到、延误和计划变化,plane,4
常用英语500句 · 基础篇,说明迟到、延误和计划变化,breakfast,5
常用英语500句 · 基础篇,说明迟到、延误和计划变化,explain,6
常用英语500句 · 基础篇,说明迟到、延误和计划变化,deal,7
常用英语500句 · 基础篇,说明迟到、延误和计划变化,meantime,8
常用英语500句 · 基础篇,说明迟到、延误和计划变化,choice,9
常用英语500句 · 基础篇,说明迟到、延误和计划变化,complicated,10
常用英语500句 · 基础篇,说明迟到、延误和计划变化,close,11
常用英语500句 · 基础篇,说明迟到、延误和计划变化,waiting,12
常用英语500句 · 基础篇,说明迟到、延误和计划变化,change,13
常用英语500句 · 基础篇,说明迟到、延误和计划变化,schedule,14
常用英语500句 · 基础篇,描述生活小故障并请求处理,problem,1
常用英语500句 · 基础篇,描述生活小故障并请求处理,favor,2
常用英语500句 · 基础篇,描述生活小故障并请求处理,hand,3
常用英语500句 · 基础篇,描述生活小故障并请求处理,try,4
常用英语500句 · 基础篇,描述生活小故障并请求处理,supposed,5
常用英语500句 · 基础篇,描述生活小故障并请求处理,breaking,6
常用英语500句 · 基础篇,描述生活小故障并请求处理,patient,7
常用英语500句 · 基础篇,描述生活小故障并请求处理,panic,8
常用英语500句 · 基础篇,描述生活小故障并请求处理,noise,9
常用英语500句 · 基础篇,描述生活小故障并请求处理,repair,10
常用英语500句 · 基础篇,描述生活小故障并请求处理,signal,11
常用英语500句 · 基础篇,描述生活小故障并请求处理,break,12
常用英语500句 · 基础篇,描述生活小故障并请求处理,together,13
常用英语500句 · 基础篇,描述生活小故障并请求处理,screw,14
常用英语500句 · 基础篇,描述生活小故障并请求处理,pull,15
常用英语500句 · 基础篇,描述生活小故障并请求处理,over,16
常用英语500句 · 基础篇,表达感受、安慰和实际支持,back,1
常用英语500句 · 基础篇,表达感受、安慰和实际支持,easy,2
常用英语500句 · 基础篇,表达感受、安慰和实际支持,hang,3
常用英语500句 · 基础篇,表达感受、安慰和实际支持,cheer,4
常用英语500句 · 基础篇,表达感受、安慰和实际支持,mood,5
常用英语500句 · 基础篇,表达感受、安慰和实际支持,exhausted,6
常用英语500句 · 基础篇,表达感受、安慰和实际支持,confused,7
常用英语500句 · 基础篇,表达感受、安慰和实际支持,weather,8
常用英语500句 · 基础篇,表达感受、安慰和实际支持,nervous,9
常用英语500句 · 基础篇,表达感受、安慰和实际支持,spirit,10
常用英语500句 · 基础篇,表达感受、安慰和实际支持,rough,11
常用英语500句 · 基础篇,表达感受、安慰和实际支持,support,12
常用英语500句 · 基础篇,表达感受、安慰和实际支持,sorry,13
常用英语500句 · 基础篇,表达感受、安慰和实际支持,fed,14
常用英语500句 · 基础篇,报告进度、截止时间和下一步,best,1
常用英语500句 · 基础篇,报告进度、截止时间和下一步,finished,2
常用英语500句 · 基础篇,报告进度、截止时间和下一步,progress,3
常用英语500句 · 基础篇,报告进度、截止时间和下一步,impressed,4
常用英语500句 · 基础篇,报告进度、截止时间和下一步,promise,5
常用英语500句 · 基础篇,报告进度、截止时间和下一步,turn,6
常用英语500句 · 基础篇,报告进度、截止时间和下一步,deadline,7
常用英语500句 · 基础篇,报告进度、截止时间和下一步,sure,8
常用英语500句 · 基础篇,报告进度、截止时间和下一步,deal,9
常用英语500句 · 基础篇,报告进度、截止时间和下一步,down,10
常用英语500句 · 基础篇,报告进度、截止时间和下一步,busy,11
常用英语500句 · 基础篇,报告进度、截止时间和下一步,word,12
常用英语500句 · 基础篇,报告进度、截止时间和下一步,next,13
常用英语500句 · 基础篇,报告进度、截止时间和下一步,draft,14
常用英语500句 · 基础篇,给建议并确认最终方案,point,1
常用英语500句 · 基础篇,给建议并确认最终方案,idea,2
常用英语500句 · 基础篇,给建议并确认最终方案,worth,3
常用英语500句 · 基础篇,给建议并确认最终方案,settled,4
常用英语500句 · 基础篇,给建议并确认最终方案,honest,5
常用英语500句 · 基础篇,给建议并确认最终方案,difference,6
常用英语500句 · 基础篇,给建议并确认最终方案,trust,7
常用英语500句 · 基础篇,给建议并确认最终方案,advice,8
常用英语500句 · 基础篇,给建议并确认最终方案,guess,9
常用英语500句 · 基础篇,给建议并确认最终方案,complain,10
常用英语500句 · 基础篇,给建议并确认最终方案,best,11
常用英语500句 · 基础篇,给建议并确认最终方案,exercise,12
常用英语500句 · 基础篇,给建议并确认最终方案,wrong,13
常用英语500句 · 基础篇,给建议并确认最终方案,confirm,14
