scene_title,topic_title,text,sort_order
常用英语500句 · 基础篇,邀约、答应、拒绝与改期,Don't push me.,15
常用英语500句 · 基础篇,邀约、答应、拒绝与改期,The ball is in your court.,16
常用英语500句 · 基础篇,邀约、答应、拒绝与改期,Bring it on.,17
常用英语500句 · 基础篇,邀约、答应、拒绝与改期,He's still sitting on the fence.,18
常用英语500句 · 基础篇,邀约、答应、拒绝与改期,Don't let chances pass by.,19
常用英语500句 · 基础篇,邀约、答应、拒绝与改期,You have to bite the bullet.,20
常用英语500句 · 基础篇,叫醒、安顿与出门准备,Wake me up at five thirty.,1
常用英语500句 · 基础篇,叫醒、安顿与出门准备,What are you still doing in bed?,2
常用英语500句 · 基础篇,叫醒、安顿与出门准备,I had to take a shower.,3
常用英语500句 · 基础篇,叫醒、安顿与出门准备,Get dressed now.,4
常用英语500句 · 基础篇,叫醒、安顿与出门准备,Take your time to unpack.,5
常用英语500句 · 基础篇,叫醒、安顿与出门准备,And get settled in.,6
常用英语500句 · 基础篇,叫醒、安顿与出门准备,You should go pack.,7
常用英语500句 · 基础篇,叫醒、安顿与出门准备,It's only for 2 weeks.,8
常用英语500句 · 基础篇,叫醒、安顿与出门准备,Thank you so much for helping me move yesterday.,9
常用英语500句 · 基础篇,叫醒、安顿与出门准备,Go on in.,10
常用英语500句 · 基础篇,叫醒、安顿与出门准备,Allow me.,11
常用英语500句 · 基础篇,叫醒、安顿与出门准备,I would chaperone.,12
常用英语500句 · 基础篇,叫醒、安顿与出门准备,Why did you stay at home?,13
常用英语500句 · 基础篇,叫醒、安顿与出门准备,I left it right here.,14
常用英语500句 · 基础篇,叫醒、安顿与出门准备,Do I start now?,15
常用英语500句 · 基础篇,叫醒、安顿与出门准备,Do you have to take the car?,16
常用英语500句 · 基础篇,叫醒、安顿与出门准备,He strolls about the town.,17
常用英语500句 · 基础篇,叫醒、安顿与出门准备,Settle down,18
常用英语500句 · 基础篇,叫醒、安顿与出门准备,On my own.,19
常用英语500句 · 基础篇,叫醒、安顿与出门准备,Don't be rude.,20
常用英语500句 · 基础篇,迟到、延误与计划变化,All of a sudden.,1
常用英语500句 · 基础篇,迟到、延误与计划变化,Something's up.,2
常用英语500句 · 基础篇,迟到、延误与计划变化,I can explain.,3
常用英语500句 · 基础篇,迟到、延误与计划变化,I thought I told you.,4
常用英语500句 · 基础篇,迟到、延误与计划变化,We had a deal.,5
常用英语500句 · 基础篇,迟到、延误与计划变化,Time's up.,6
常用英语500句 · 基础篇,迟到、延误与计划变化,In the meantime.,7
常用英语500句 · 基础篇,迟到、延误与计划变化,From now on.,8
常用英语500句 · 基础篇,迟到、延误与计划变化,As always.,9
常用英语500句 · 基础篇,迟到、延误与计划变化,Not again.,10
常用英语500句 · 基础篇,迟到、延误与计划变化,That was close.,11
常用英语500句 · 基础篇,迟到、延误与计划变化,I don't remember.,12
常用英语500句 · 基础篇,迟到、延误与计划变化,I have no choice.,13
常用英语500句 · 基础篇,迟到、延误与计划变化,It's complicated.,14
常用英语500句 · 基础篇,迟到、延误与计划变化,Not even close.,15
常用英语500句 · 基础篇,迟到、延误与计划变化,I have a lot on my plate.,16
常用英语500句 · 基础篇,迟到、延误与计划变化,I'll let you know when I recall.,17
常用英语500句 · 基础篇,迟到、延误与计划变化,Don't shoot yourself in the foot.,18
常用英语500句 · 基础篇,迟到、延误与计划变化,It's a blessing in disguise.,19
常用英语500句 · 基础篇,迟到、延误与计划变化,What horrible weather!,20
常用英语500句 · 基础篇,出问题、求助与冷静处理,What am I supposed to do?,1
常用英语500句 · 基础篇,出问题、求助与冷静处理,You're breaking up.,2
常用英语500句 · 基础篇,出问题、求助与冷静处理,Start over.,3
常用英语500句 · 基础篇,出问题、求助与冷静处理,Take a break.,4
常用英语500句 · 基础篇,出问题、求助与冷静处理,Calm down.,5
常用英语500句 · 基础篇,出问题、求助与冷静处理,Be patient.,6
常用英语500句 · 基础篇,出问题、求助与冷静处理,Let's not waste our time.,7
常用英语500句 · 基础篇,出问题、求助与冷静处理,Stop making such a noise.,8
常用英语500句 · 基础篇,出问题、求助与冷静处理,I screwed up.,9
常用英语500句 · 基础篇,出问题、求助与冷静处理,I've had it.,10
常用英语500句 · 基础篇,出问题、求助与冷静处理,Get yourself together.,11
常用英语500句 · 基础篇,出问题、求助与冷静处理,I got it.,12
常用英语500句 · 基础篇,出问题、求助与冷静处理,I quit.,13
常用英语500句 · 基础篇,出问题、求助与冷静处理,Give me a break.,14
常用英语500句 · 基础篇,出问题、求助与冷静处理,It's not rocket science.,15
常用英语500句 · 基础篇,出问题、求助与冷静处理,Don't bite off more than you can chew.,16
常用英语500句 · 基础篇,出问题、求助与冷静处理,You're off the hook.,17
常用英语500句 · 基础篇,出问题、求助与冷静处理,Knock it off.,18
常用英语500句 · 基础篇,出问题、求助与冷静处理,You've dodged a bullet.,19
常用英语500句 · 基础篇,出问题、求助与冷静处理,I will be more careful.,20
常用英语500句 · 基础篇,情绪、安慰与支持,I'll make it up to you.,1
常用英语500句 · 基础篇,情绪、安慰与支持,I am not mad.,2
常用英语500句 · 基础篇,情绪、安慰与支持,You're making me nervous.,3
常用英语500句 · 基础篇,情绪、安慰与支持,I'm exhausted.,4
常用英语500句 · 基础篇,情绪、安慰与支持,She's under the weather.,5
常用英语500句 · 基础篇,情绪、安慰与支持,He seems a little nervous.,6
常用英语500句 · 基础篇,情绪、安慰与支持,I'm fed up with my work!,7
常用英语500句 · 基础篇,情绪、安慰与支持,There there.,8
常用英语500句 · 基础篇,情绪、安慰与支持,Poor thing.,9
常用英语500句 · 基础篇,情绪、安慰与支持,That's the spirit.,10
常用英语500句 · 基础篇,情绪、安慰与支持,Don't cry.,11
常用英语500句 · 基础篇,情绪、安慰与支持,I miss you.,12
常用英语500句 · 基础篇,情绪、安慰与支持,Unbelievable.,13
常用英语500句 · 基础篇,情绪、安慰与支持,Outstanding.,14
常用英语500句 · 基础篇,情绪、安慰与支持,Don't get me started.,15
常用英语500句 · 基础篇,情绪、安慰与支持,Let bygones be bygones.,16
常用英语500句 · 基础篇,情绪、安慰与支持,Being criticized is awful!,17
常用英语500句 · 基础篇,情绪、安慰与支持,I'm not leaving you.,18
常用英语500句 · 基础篇,情绪、安慰与支持,Do you have any idea how tired I am?,19
常用英语500句 · 基础篇,情绪、安慰与支持,He was not a bit tired.,20
常用英语500句 · 基础篇,进展、保证与评价,I'll do my best.,1
常用英语500句 · 基础篇,进展、保证与评价,Went well.,2
常用英语500句 · 基础篇,进展、保证与评价,We are all busy with work.,3
常用英语500句 · 基础篇,进展、保证与评价,You have my word.,4
常用英语500句 · 基础篇,进展、保证与评价,My turn.,5
常用英语500句 · 基础篇,进展、保证与评价,At this point.,6
常用英语500句 · 基础篇,进展、保证与评价,You promised me.,7
常用英语500句 · 基础篇,进展、保证与评价,That's for sure.,8
常用英语500句 · 基础篇,进展、保证与评价,It's a big deal.,9
常用英语500句 · 基础篇,进展、保证与评价,Don't let me down.,10
常用英语500句 · 基础篇,进展、保证与评价,I mean it.,11
常用英语500句 · 基础篇,进展、保证与评价,Bingo,12
常用英语500句 · 基础篇,进展、保证与评价,Great minds think alike.,13
常用英语500句 · 基础篇,进展、保证与评价,You deserve it.,14
常用英语500句 · 基础篇,进展、保证与评价,That's more like it.,15
常用英语500句 · 基础篇,进展、保证与评价,Nice try.,16
常用英语500句 · 基础篇,进展、保证与评价,I can see that.,17
常用英语500句 · 基础篇,进展、保证与评价,They praised him highly.,18
常用英语500句 · 基础篇,进展、保证与评价,Now you're talking,19
常用英语500句 · 基础篇,进展、保证与评价,You don't say.,20
常用英语500句 · 基础篇,建议、判断与敲定方案,You've got a point there.,1
常用英语500句 · 基础篇,建议、判断与敲定方案,That's a terrific idea!,2
常用英语500句 · 基础篇,建议、判断与敲定方案,For your own good.,3
常用英语500句 · 基础篇,建议、判断与敲定方案,Some exercise will do you good.,4
常用英语500句 · 基础篇,建议、判断与敲定方案,I would guess that.,5
常用英语500句 · 基础篇,建议、判断与敲定方案,To be honest.,6
常用英语500句 · 基础篇,建议、判断与敲定方案,You were right.,7
常用英语500句 · 基础篇,建议、判断与敲定方案,I think so.,8
常用英语500句 · 基础篇,建议、判断与敲定方案,Don't get me wrong.,9
常用英语500句 · 基础篇,建议、判断与敲定方案,It's no use complaining,10
常用英语500句 · 基础篇,建议、判断与敲定方案,That makes no difference.,11
常用英语500句 · 基础篇,建议、判断与敲定方案,What's the point?,12
常用英语500句 · 基础篇,建议、判断与敲定方案,Go for it.,13
常用英语500句 · 基础篇,建议、判断与敲定方案,Trust me.,14
常用英语500句 · 基础篇,建议、判断与敲定方案,Hear me out.,15
常用英语500句 · 基础篇,建议、判断与敲定方案,If I were you.,16
常用英语500句 · 基础篇,建议、判断与敲定方案,With all due respect.,17
常用英语500句 · 基础篇,建议、判断与敲定方案,It's a win-win situation.,18
常用英语500句 · 基础篇,建议、判断与敲定方案,The other way around.,19
常用英语500句 · 基础篇,建议、判断与敲定方案,That's easy for you to say.,20
